,Sp
629,[0.01891946792602539]
630,[0.8950763940811157]
631,[0.8950763940811157]
632,[1.0]
633,[1.0]
634,[0.1906055212020874]
635,[0.1906055212020874]
636,[0.31978970766067505]
637,[0.31978970766067505]
638,[0.6930397152900696]
639,[0.6930397152900696]
640,[1.0]
641,[1.0]
642,[0.4001076817512512]
643,[0.4001076817512512]
644,[1.0]
645,[1.0]
646,[1.0]
647,[1.0]
648,[1.0]
649,[1.0]
650,[1.0]
651,[1.0]
652,[1.0]
653,[1.0]
654,[0.8972566053271294]
655,[0.8972566053271294]
656,[0.19948208332061768]
657,[0.19948208332061768]
658,[0.7257547974586487]
659,[0.7257547974586487]
660,[1.0]
661,[1.0]
662,[0.24448561668395996]
663,[0.24448561668395996]
664,[0.6799488365650177]
665,[0.6799488365650177]
666,[0.1617991328239441]
667,[0.1617991328239441]
668,[0.2775951623916626]
669,[0.2775951623916626]
670,[0.38086849451065063]
671,[0.38086849451065063]
672,[0.6435516178607941]
673,[0.6435516178607941]
674,[0.7230143249034882]
675,[0.7230143249034882]
676,[0.14934080839157104]
677,[0.14934080839157104]
678,[1.0]
679,[1.0]
680,[1.0]
681,[1.0]
682,[0.79071906208992]
683,[0.79071906208992]
684,[1.0]
685,[1.0]
686,[0.23793405294418335]
687,[0.23793405294418335]
688,[0.8112588822841644]
689,[0.8112588822841644]
690,[1.0]
691,[1.0]
692,[1.0]
693,[1.0]
694,[0.5610922574996948]
695,[0.5610922574996948]
696,[0.45663368701934814]
697,[0.45663368701934814]
698,[1.0]
699,[1.0]
700,[0.5561240017414093]
701,[0.5561240017414093]
702,[0.7802787125110626]
703,[0.7802787125110626]
704,[0.7118732631206512]
705,[0.7118732631206512]
706,[1.0]
707,[1.0]
708,[1.0]
709,[1.0]
710,[0.7250468730926514]
711,[0.7250468730926514]
712,[0.6483058929443359]
713,[0.6483058929443359]
714,[1.0]
715,[1.0]
716,[1.0]
717,[1.0]
718,[0.5175791680812836]
719,[0.5175791680812836]
720,[0.5932423770427704]
721,[0.5932423770427704]
722,[1.0]
723,[1.0]
724,[1.0]
725,[1.0]
726,[0.671588808298111]
727,[0.671588808298111]
728,[0.6718288660049438]
729,[0.6718288660049438]
730,[0.7014630436897278]
731,[0.7014630436897278]
732,[0.6094910502433777]
733,[0.6094910502433777]
734,[0.3736323118209839]
735,[0.3736323118209839]
736,[0.7916844040155411]
737,[0.7916844040155411]
738,[0.3376830220222473]
739,[0.3376830220222473]
740,[0.493708074092865]
741,[0.493708074092865]
742,[0.22805583477020264]
743,[0.22805583477020264]
744,[0.7568858563899994]
745,[0.7568858563899994]
746,[1.0]
747,[1.0]
748,[0.4421371817588806]
749,[0.4421371817588806]
750,[1.0]
751,[1.0]
752,[1.0]
753,[1.0]
754,[0.37036556005477905]
755,[0.37036556005477905]
756,[0.9131024032831192]
757,[0.9131024032831192]
758,[0.9537132978439331]
759,[0.9537132978439331]
760,[1.0]
761,[1.0]
762,[1.0]
763,[1.0]
764,[0.998709142790176]
765,[0.998709142790176]
766,[0.9416717551648617]
767,[0.9416717551648617]
768,[0.24648410081863403]
769,[0.24648410081863403]
770,[0.7018468677997589]
771,[0.7018468677997589]
772,[1.0]
773,[1.0]
774,[0.9168295636773109]
775,[0.9168295636773109]
776,[0.7232420146465302]
777,[0.7232420146465302]
778,[1.0]
779,[1.0]
780,[0.302973210811615]
781,[0.302973210811615]
782,[0.6780163943767548]
783,[0.6780163943767548]
784,[1.0]
785,[1.0]
786,[0.9958708877675235]
787,[0.9958708877675235]
788,[1.0]
789,[1.0]
790,[1.0]
791,[1.0]
792,[1.0]
793,[1.0]
794,[0.8849811404943466]
795,[0.8849811404943466]
796,[0.827239528298378]
797,[0.827239528298378]
798,[1.0]
799,[1.0]
800,[0.399532675743103]
801,[0.399532675743103]
802,[1.0]
803,[1.0]
804,[0.058286428451538086]
805,[0.058286428451538086]
806,[0.4796707034111023]
807,[0.4796707034111023]
808,[1.0]
809,[1.0]
810,[0.7487014532089233]
811,[0.7487014532089233]
812,[0.4554043412208557]
813,[0.4554043412208557]
814,[1.0]
815,[1.0]
816,[0.6968604922294617]
817,[0.6968604922294617]
818,[0.7722473591566086]
819,[0.7722473591566086]
820,[0.8767155483365059]
821,[0.8767155483365059]
822,[0.3042023181915283]
823,[0.3042023181915283]
